bladelen,petiole,bladewid,latitude,logwid,loglen,class
6.93,0.449064,3.1,17.1,1.1314021115,1.9358598132,0
7.27,0.26172,2.5,17.1,0.9162907319,1.9837562915,0
7.43,0.766033,2.98,17.1,1.0919233005,2.0055258587,0
8,0.5928,3.06,17.1,1.118414916,2.0794415417,0
8.08,0.4929,3.03,17.1,1.1085626195,2.0893918725,0
8.48,0.819168,4.33,17.1,1.465567542,2.1377104498,0
8.56,0.598344,4.82,17.1,1.5727739281,2.1471001902,0
8.72,0.5901,4.88,17.1,1.5851452199,2.1656192379,0
9.153333,0.520824648,3.01,17.1,1.1019400788,2.2141180753,0
9.353333,0.893243302,4.04,17.1,1.396244692,2.2357327504,0
9.48,0.239844,3.24,17.1,1.1755733298,2.2491843163,0
9.56,0.65964,2.84,17.1,1.0438040522,2.2575877271,0
10.06,1.259512,3.37,17.1,1.2149127444,2.3085671647,0
10.06,0.602594,3.79,17.1,1.3323660191,2.3085671647,0
10.11,0.7446015,3.72,17.1,1.3137236683,2.313525033,0
10.37,0.281,3.48,17.1,1.2470322938,2.3389170222,0
10.44,0.489636,3.99,17.1,1.3837912309,2.3456445825,0
10.5,0.09975,3.33,17.1,1.202972304,2.3513752572,0
10.55,1.00014,5.16,17.1,1.6409365795,2.3561258599,0
10.87,0.84786,4.01,17.1,1.3887912413,2.3860067011,0
11.22,1.104048,4.65,17.1,1.5368672196,2.4176979001,0
11.66,0.871,3.62,17.1,1.2864740258,2.4561641809,0
11.86,0.856292,4.33,17.1,1.465567542,2.4731713936,0
12.23,0.386468,4.11,17.1,1.4134230285,2.5038919497,0
12.84,0.889812,4.36,17.1,1.4724720574,2.5525652983,0
12.9,0.2709,4.18,17.1,1.4303112465,2.5572273114,0
12.96,0.415368,4.03,17.1,1.393766376,2.5618676909,0
13.03,0.28763725,3.29,17.1,1.1908875648,2.5672543911,0
13.4,1.47802,5.59,17.1,1.7209792872,2.595254707,0
13.413333,0.854871952,4.34,17.1,1.4678743481,2.5962492123,0
13.59,0.9696465,5.64,17.1,1.7298840655,2.6093342282,0
14.36,0.548552,4.26,17.1,1.4492691603,2.6644465636,0
14.4,0.45072,3.975,17.1,1.3800247481,2.6672282066,0
14.6,1.04828,3.05,17.1,1.1151415906,2.6810215287,0
14.9,0.93125,4.57,17.1,1.5195132049,2.701361213,0
16.49,1.205419,7.61,17.1,2.0294631719,2.8027541366,0
16.67,0.698473,5.68,17.1,1.7369512327,2.8136106968,0
17.04,1.159572,6.86,17.1,1.9257074417,2.8355635214,0
19.89,1.1795,7.81,17.1,2.0554049639,2.9902170929,0
24.43,1.2044,6.96,17.1,1.9401794743,3.1958118853,0
30.35,1.6586275,6.78,17.1,1.913977102,3.4127965175,0
13.98,1.50984,3.9,17.1,1.3609765531,2.6376277368,1
14.45,2.88422,5.72,17.1,1.7439688054,2.6706944146,1
15.25,0.840275,3,17.1,1.0986122887,2.7245795031,1
15.3,1.87425,5.88,17.1,1.7715567619,2.7278528284,1
15.348,1.8049248,4.84,17.1,1.5769147207,2.7309851724,1
15.46,1.842832,5.85,17.1,1.7664416612,2.7382560432,1
15.56,1.039408,4.72,17.1,1.5518087996,2.7447035188,1
17,0.4148,7.22,17.1,1.9768549529,2.8332133441,1
17.8,1.55572,5.28,17.1,1.6639260977,2.8791984573,1
17.97,3.5212215,6.15,17.1,1.8164520818,2.8887037008,1
18.76,1.876,7.19,17.1,1.9726911717,2.9317269436,1
19.68,6.5928,8.16,17.1,2.099244169,2.9796028916,1
20.98,3.268684,6.58,17.1,1.8840347453,3.043569603,1
22.215,10.4743725,11.46,17.1,2.4388627113,3.1007677364,1
22.64,0.875036,3.8,17.1,1.3350010667,3.1197182533,1
25.275,3.634545,6.85,17.1,1.9242486523,3.2298157649,1
26.55,2.6350875,5.92,17.1,1.7783364489,3.2790297477,1
26.9925,3.83563425,8.53,17.1,2.1435893615,3.2955590496,1
35.843333,3.799393298,9.51,17.1,2.2523438766,3.5791575804,1
42.275,1.49442125,23.45,17.1,3.1548704949,3.7441958948,1
